"destino","trip_count_des","end_lat","end_lng"
"Sheridan Rd & Lawrence Ave",1802,41.9695,-87.6547
"Western Ave & Congress Pkwy",1045,41.8747,-87.6864
"Larrabee St & Division St",3392,41.9035,-87.6434
"Leavitt St & Archer Ave",440,41.8288,-87.6806
"Southport Ave & Wrightwood Ave",2812,41.9288,-87.6639
"Cornell Dr & Hayes Dr",351,41.7806,-87.5849
"Southport Ave & Waveland Ave",5282,41.9481,-87.6639
"Evanston Civic Center",631,42.057,-87.6866
"Lincoln Ave & Fullerton Ave",5967,41.9259,-87.6493
"Aberdeen St & Randolph St",2391,41.8841,-87.6543
"Clinton St & Lake St",3096,41.8856,-87.6418
"Larrabee St & Webster Ave",8471,41.9218,-87.6441
"Michigan Ave & Lake St",10779,41.886,-87.6241
"Kingsbury St & Kinzie St",5123,41.8892,-87.6385
"Pine Grove Ave & Irving Park Rd",4962,41.9544,-87.648
"Fairbanks Ct & Grand Ave",9274,41.8919,-87.6206
"Kedzie Ave & Bryn Mawr Ave",577,41.9824,-87.7089
"Clarendon Ave & Leland Ave",2384,41.968,-87.65
"Broadway & Belmont Ave",5379,41.9401,-87.6455
"Clinton St & Washington Blvd",1427,41.8834,-87.6412
"Carpenter St & Huron St",2313,41.8946,-87.6534
"Clark St & Wrightwood Ave",6279,41.9295,-87.6431
"Leavitt St & North Ave",1682,41.9103,-87.6823
"Washtenaw Ave & Lawrence Ave",937,41.969,-87.696
"Ritchie Ct & Banks St",4223,41.9069,-87.6263
"Museum of Science and Industry",1857,41.7918,-87.584
"Damen Ave & Charleston St",1930,41.9201,-87.6779
"Blue Island Ave & 18th St",1630,41.8576,-87.6615
"Clinton St & Madison St",3409,41.8822,-87.6411
"Ellis Ave & 53rd St",1161,41.7993,-87.601
"State St & Randolph St",6676,41.8847,-87.6277
"Western Ave & Walton St",1930,41.8984,-87.6866
"Wolcott (Ravenswood) Ave & Montrose Ave",1247,41.9614,-87.6762
"Lincoln Ave & Winona St",792,41.9749,-87.6925
"Clark St & Elm St",11079,41.903,-87.6313
"Lake Shore Dr & North Blvd",13739,41.9117,-87.6268
"Oakley Ave & Touhy Ave",367,42.0123,-87.6882
"Broadway & Cornelia Ave",6702,41.9455,-87.6464
"Kedzie Ave & Milwaukee Ave",4821,41.9296,-87.7079
"Mies van der Rohe Way & Chicago Ave",4547,41.8969,-87.6217
"Wells St & Concord Ln",9594,41.9121,-87.6347
"Sheffield Ave & Wellington Ave",5020,41.9363,-87.6527
"Cottage Grove Ave & Oakwood Blvd",1633,41.823,-87.6071
"Damen Ave & Cortland St",3658,41.916,-87.6773
"Millennium Park",20222,41.881,-87.6241
"Shields Ave & 31st St",363,41.8385,-87.6354
"Wilton Ave & Diversey Pkwy",4357,41.9324,-87.6527
"Sedgwick St & North Ave",3858,41.9114,-87.6387
"Streeter Dr & Grand Ave",28024,41.8923,-87.6121
"Blackstone Ave & Hyde Park Blvd",2029,41.8026,-87.5904
"Peoria St & Jackson Blvd",3463,41.8776,-87.6496
"LaSalle Dr & Huron St",4167,41.8949,-87.6323
"Indiana Ave & Roosevelt Rd",13198,41.8679,-87.623
"Artesian Ave & Hubbard St",399,41.8895,-87.6882
"Wells St & Walton St",2176,41.8999,-87.6344
"Racine Ave & Belmont Ave",3819,41.9397,-87.6589
"Daley Center Plaza",3762,41.8842,-87.6296
"Ada St & Washington Blvd",2053,41.8828,-87.6612
"Commercial Ave & 83rd St",184,41.7446,-87.5512
"Marine Dr & Ainslie St",3985,41.9716,-87.6502
"Eckhart Park",2869,41.8964,-87.661
"McClurg Ct & Illinois St",6998,41.8904,-87.6176
"Wells St & Polk St",3385,41.8726,-87.6335
"Wilton Ave & Belmont Ave",7487,41.9402,-87.653
"Wells St & Huron St",7951,41.8947,-87.6344
"Stockton Dr & Wrightwood Ave",7420,41.9313,-87.6387
"Wells St & Evergreen Ave",8461,41.9067,-87.6348
"Leavitt St & Armitage Ave",1543,41.9178,-87.6824
"Central Park Ave & North Ave",759,41.9097,-87.7166
"Kedzie Ave & Chicago Ave",407,41.8954,-87.706
"Marshfield Ave & Cortland St",1826,41.916,-87.6689
"Larrabee St & Menomonee St",1209,41.9147,-87.6433
"Desplaines St & Kinzie St",6419,41.8887,-87.6444
"Albany Ave & Montrose Ave",729,41.961,-87.7059
"Cityfront Plaza Dr & Pioneer Ct",4583,41.8906,-87.6221
"Lincoln Ave & Diversey Pkwy",3239,41.9322,-87.6586
"McClurg Ct & Erie St",4581,41.8945,-87.6179
"Sedgwick St & Schiller St",1557,41.9076,-87.6386
"Lake Shore Dr & Diversey Pkwy",8031,41.9326,-87.6364
"Michigan Ave & Pearson St",5589,41.8976,-87.6235
"Indiana Ave & 26th St",954,41.8457,-87.6225
"Burling St (Halsted) & Diversey Pkwy (Temp)",2949,41.9331,-87.6478
"State St & Kinzie St",6896,41.8892,-87.6278
"Buckingham Fountain",9893,41.8765,-87.6205
"Sheffield Ave & Fullerton Ave",2637,41.9256,-87.6537
"Cottage Grove Ave & 51st St",957,41.803,-87.6066
"Clifton Ave & Armitage Ave",2602,41.9182,-87.6569
"Orleans St & Elm St",1332,41.9029,-87.6377
"Paulina Ave & North Ave",2756,41.9103,-87.6701
"Halsted St & 21st St",492,41.8538,-87.6466
"Bissell St & Armitage Ave",6020,41.9184,-87.6522
"Halsted St & Dickens Ave",4750,41.9199,-87.6488
"Lake Park Ave & 56th St",1903,41.7932,-87.5878
"Michigan Ave & Oak St",13807,41.901,-87.6238
"Warren Park East",662,42.0046,-87.6807
"State St & 19th St",1268,41.8566,-87.6275
"Dayton St & North Ave",2944,41.9106,-87.6494
"Dearborn Pkwy & Delaware Pl",7300,41.899,-87.6299
"Clark St & Lincoln Ave",10534,41.9157,-87.6346
"Lincoln Park Conservatory",6213,41.9239,-87.6358
"State St & 33rd St",1104,41.8348,-87.6258
"Ashland Ave & Division St",6602,41.9035,-87.6677
"Lake Shore Dr & Wellington Ave",8699,41.9367,-87.6368
"Clark St & Chicago Ave",4089,41.8968,-87.6309
"Clark St & Bryn Mawr Ave",1798,41.9836,-87.6692
"Broadway & Wilson Ave",3046,41.9652,-87.6581
"Wabash Ave & Cermak Rd",1127,41.8526,-87.6265
"Clark St & Randolph St",3508,41.8846,-87.6319
"Southport Ave & Irving Park Rd",1747,41.9542,-87.6644
"Ashland Ave & Grand Ave",1893,41.8911,-87.6666
"Central Ave & Madison St",110,41.8801,-87.7632
"Green St & Randolph St",5053,41.8837,-87.6486
"Sawyer Ave & Irving Park Rd",643,41.9536,-87.7093
"Michigan Ave & Jackson Blvd",4305,41.8779,-87.6241
"Sheridan Rd & Montrose Ave",4863,41.9617,-87.6546
"Clark St & Lake St",4797,41.886,-87.6309
"Fairfield Ave & Roosevelt Rd",253,41.8666,-87.6945
"Broadway & Ridge Ave",2520,41.984,-87.6603
"Rhodes Ave & 32nd St",1918,41.8363,-87.6135
"Halsted St & 18th St",838,41.8575,-87.6463
"Broadway & Waveland Ave",5307,41.9491,-87.6486
"Rush St & Cedar St",6727,41.9023,-87.6277
"63rd St Beach",1542,41.781,-87.5761
"Sheridan Rd & Loyola Ave",2564,42.001,-87.6612
"Desplaines St & Randolph St",3182,41.8846,-87.6446
"Greenview Ave & Jarvis Ave",841,42.016,-87.6686
"Noble St & Milwaukee Ave",2714,41.9007,-87.6626
"Milwaukee Ave & Grand Ave",4627,41.8916,-87.6484
"Green St & Madison St",5606,41.8819,-87.6488
"Clark St & North Ave",5756,41.912,-87.6319
