"inicio","trip_count_in","start_lat","start_lng"
"Rush St & Hubbard St",2647,41.8909,-87.6252
"Ogden Ave & Roosevelt Rd",531,41.8666,-87.6844
"LaSalle Dr & Huron St",4168,41.896,-87.6316
"Leavitt St & Archer Ave",424,41.8288,-87.6806
"Clark St & Lincoln Ave",10402,41.916,-87.6345
"Museum of Science and Industry",1856,41.7919,-87.5839
"Ashland Ave & Grace St",1802,41.9508,-87.6686
"Evanston Civic Center",622,42.0571,-87.6865
"Lincoln Ave & Fullerton Ave",6063,41.9261,-87.6492
"Aberdeen St & Monroe St",1831,41.8806,-87.6555
"Clinton St & Madison St",3905,41.8828,-87.6404
"Sheffield Ave & Fullerton Ave",3422,41.9258,-87.6536
"MLK Jr Dr & 29th St",2195,41.8423,-87.6168
"McClurg Ct & Illinois St",7499,41.8912,-87.6154
"Pine Grove Ave & Irving Park Rd",5013,41.9547,-87.6479
"Ritchie Ct & Banks St",4390,41.9073,-87.6258
"Maplewood Ave & Peterson Ave",443,41.9903,-87.6933
"Dayton St & North Ave",2881,41.9107,-87.6492
"Sheridan Rd & Montrose Ave",4581,41.9617,-87.6545
"Milwaukee Ave & Grand Ave",4548,41.892,-87.6479
"Carpenter St & Huron St",2473,41.8947,-87.6533
"Halsted St & Roscoe St",6293,41.9438,-87.6487
"Clark St & Elm St",11702,41.9035,-87.6312
"Loomis St & Lexington St",2438,41.8723,-87.6612
"Washtenaw Ave & Lawrence Ave",944,41.969,-87.696
"Bissell St & Armitage Ave",5779,41.9186,-87.652
"Greenview Ave & Fullerton Ave",2913,41.9255,-87.6657
"Blue Island Ave & 18th St",1569,41.8576,-87.6615
"Shore Dr & 55th St",5922,41.7953,-87.5807
"Canal St & Monroe St",1195,41.8828,-87.6389
"Wood St & Milwaukee Ave",4514,41.9078,-87.6722
"Broadway & Belmont Ave",5193,41.9402,-87.6451
"Wolcott (Ravenswood) Ave & Montrose Ave",1396,41.9616,-87.6761
"Lincoln Ave & Winona St",891,41.975,-87.6925
"Lake Shore Dr & North Blvd",12884,41.9119,-87.6267
"Oakley Ave & Touhy Ave",353,42.0124,-87.6882
"Broadway & Cornelia Ave",6580,41.9456,-87.6463
"Humboldt Blvd & Armitage Ave",2033,41.9176,-87.7017
"Ashland Ave & Division St",6183,41.9037,-87.6676
"Sheffield Ave & Wellington Ave",4884,41.9365,-87.6524
"Clark St & Newport St",4945,41.9447,-87.6543
"Lake Park Ave & 35th St",2687,41.8314,-87.6087
"Clark St & Winnemac Ave",2146,41.9735,-87.6677
"Millennium Park",19436,41.8815,-87.6238
"Ashland Ave & Archer Ave",343,41.8394,-87.6654
"Wilton Ave & Diversey Pkwy",4534,41.9326,-87.6526
"Clark St & Wrightwood Ave",6158,41.9299,-87.643
"Woodlawn Ave & 55th St",1337,41.7954,-87.5964
"Peoria St & Jackson Blvd",3374,41.8779,-87.6492
"Indiana Ave & Roosevelt Rd",13138,41.8682,-87.6228
"McClurg Ct & Erie St",4769,41.8959,-87.616
"Clifton Ave & Armitage Ave",2585,41.9184,-87.6568
"Sedgwick St & North Ave",4131,41.9115,-87.6386
"Daley Center Plaza",4285,41.8863,-87.6286
"Ada St & Washington Blvd",2005,41.8829,-87.6611
"Ashland Ave & Wellington Ave",1335,41.9362,-87.6698
"Commercial Ave & 83rd St",171,41.7447,-87.5511
"Clarendon Ave & Gordon Ter",3527,41.9586,-87.6492
"Eckhart Park",2737,41.8965,-87.6609
"Delano Ct & Roosevelt Rd",2099,41.8676,-87.632
"Fairbanks Ct & Grand Ave",8746,41.8937,-87.6201
"Clark St & Bryn Mawr Ave",1633,41.9836,-87.6691
"Wabash Ave & 16th St",2675,41.8607,-87.6254
"Wells St & Huron St",8132,41.8952,-87.6338
"Marine Dr & Ainslie St",4215,41.9717,-87.65
"Wabash Ave & Grand Ave",9537,41.8921,-87.6248
"Central Park Ave & North Ave",620,41.9097,-87.7166
"Damen Ave & Chicago Ave",2850,41.8958,-87.677
"Sheridan Rd & Buena Ave",2669,41.9586,-87.6549
"Kingsbury St & Erie St",4469,41.8942,-87.6414
"Kedzie Ave & Milwaukee Ave",4385,41.9297,-87.7078
"Sedgwick St & Schiller St",1569,41.9077,-87.6381
"Lake Shore Dr & Diversey Pkwy",7961,41.9327,-87.6363
"Indiana Ave & 26th St",972,41.8458,-87.6224
"Burling St (Halsted) & Diversey Pkwy (Temp)",2836,41.9332,-87.6477
"Buckingham Fountain",10458,41.8766,-87.6203
"Kimbark Ave & 53rd St",2963,41.7997,-87.5946
"Sheffield Ave & Waveland Ave",6133,41.9494,-87.6542
"Lincoln Ave & Belmont Ave",2618,41.9397,-87.6681
"Paulina Ave & North Ave",2663,41.9105,-87.67
"Halsted St & Archer Ave",455,41.8472,-87.6468
"Stockton Dr & Wrightwood Ave",7280,41.9314,-87.6386
"Ogden Ave & Chicago Ave",2404,41.8965,-87.6539
"DuSable Museum",265,41.7916,-87.6078
"Clark St & Armitage Ave",9914,41.9185,-87.6361
"Lincoln Park Conservatory",6311,41.9242,-87.6358
"Michigan Ave & Washington St",10724,41.8848,-87.6217
