id_region,id_provincia,nombre_provincia
1,11,Iquique
1,14,Tamarugal
2,21,Antofagasta
2,22,El Loa
2,23,Tocopilla
3,31,Copiapó
3,32,Chañaral
3,33,Huasco
4,41,Elqui
4,42,Choapa
4,43,Limarí
5,51,Valparaíso
5,52,Isla de Pascua
5,53,Los Andes
5,54,Petorca
5,55,Quillota
5,56,San Antonio
5,57,San Felipe de Aconcagua
5,58,Marga Marga
6,61,Cachapoal
6,62,Cardenal Caro
6,63,Colchagua
7,71,Talca
7,72,Cauquenes
7,73,Curicó
7,74,Linares
8,81,Concepción
8,82,Arauco
8,83,Biobío
8,84,Ñuble
9,91,Cautín
9,92,Malleco
10,101,Llanquihue
10,102,Chiloé
10,103,Osorno
10,104,Palena
11,111,Coyhaique
11,112,Aysén
11,113,Capitán Prat
11,114,General Carrera
12,121,Magallanes
12,122,Antártica Chilena
12,123,Tierra del Fuego
12,124,Última Esperanza
13,131,Santiago
13,132,Cordillera
13,133,Chacabuco
13,134,Maipo
13,135,Melipilla
13,136,Talagante
14,141,Valdivia
14,142,Ranco
15,151,Arica
15,152,Parinacota
16,161,Diguillin
16,162,Itata
16,163,Punilla
